match_id,basho_id,year,month,day,division,match_no,east_wrestler_id,east_wrestler,east_rank,west_wrestler_id,west_wrestler,west_rank,winner_id,winner,east_wins,kimarite,fusen_flag
202501-1-1-40-83,202501,2025,1,1,Makuuchi,1,40,Nishikifuji,Maegashira 17 East,83,Tokihayate,Maegashira 17 West,83,Tokihayate,0,uwatenage,0
202501-1-10-17-26,202501,2025,1,1,Makuuchi,10,17,Endo,Maegashira 7 East,26,Mitakeumi,Maegashira 7 West,26,Mitakeumi,0,tsukiotoshi,0
202501-1-11-44-11,202501,2025,1,1,Makuuchi,11,44,Takayasu,Maegashira 6 East,11,Ichiyamamoto,Maegashira 6 West,11,Ichiyamamoto,0,hikiotoshi,0
202501-1-12-24-39,202501,2025,1,1,Makuuchi,12,24,Hiradoumi,Maegashira 5 East,39,Chiyoshoma,Maegashira 5 West,39,Chiyoshoma,0,oshidashi,0
202501-1-13-33-28,202501,2025,1,1,Makuuchi,13,33,Shodai,Maegashira 4 East,28,Ura,Maegashira 4 West,28,Ura,0,yorikiri,0
202501-1-14-22-41,202501,2025,1,1,Makuuchi,14,22,Abi,Komusubi 1 East,41,Oho,Maegashira 3 West,41,Oho,0,okuridashi,0
202501-1-15-56-9,202501,2025,1,1,Makuuchi,15,56,Gonoyama,Maegashira 3 East,9,Daieisho,Sekiwake 1 West,9,Daieisho,0,tsukiotoshi,0
202501-1-16-13-74,202501,2025,1,1,Makuuchi,16,13,Wakamotoharu,Sekiwake 1 East,74,Atamifuji,Maegashira 2 West,13,Wakamotoharu,1,yorikiri,0
202501-1-17-21-8850,202501,2025,1,1,Makuuchi,17,21,Tobizaru,Maegashira 2 East,8850,Onosato,Ozeki 2 West,21,Tobizaru,1,hikiotoshi,0
202501-1-18-7-19,202501,2025,1,1,Makuuchi,18,7,Kirishima,Maegashira 1 West,19,Hoshoryu,Ozeki 1 West,19,Hoshoryu,0,yorikiri,0
202501-1-19-20-37,202501,2025,1,1,Makuuchi,19,20,Kotozakura,Ozeki 1 East,37,Takanosho,Maegashira 1 East,20,Kotozakura,1,yorikiri,0
202501-1-2-101-29,202501,2025,1,1,Makuuchi,2,101,Tamashoho,Maegashira 16 East,29,Kagayaki,Maegashira 16 West,101,Tamashoho,1,hatakikomi,0
202501-1-20-45-12,202501,2025,1,1,Makuuchi,20,45,Terunofuji,Yokozuna 1 East,12,Wakatakakage,Komusubi 1 West,12,Wakatakakage,0,katasukashi,0
202501-1-3-3-66,202501,2025,1,1,Makuuchi,3,3,Hakuoho,Maegashira 15 East,66,Kitanowaka,Maegashira 15 West,3,Hakuoho,1,yorikiri,0
202501-1-4-50-8,202501,2025,1,1,Makuuchi,4,50,Kinbozan,Maegashira 14 West,8,Kotoshoho,Maegashira 13 West,50,Kinbozan,1,yoritaoshi,0
202501-1-5-49-8853,202501,2025,1,1,Makuuchi,5,49,Shonannoumi,Maegashira 13 East,8853,Onokatsu,Maegashira 12 West,8853,Onokatsu,0,oshidashi,0
202501-1-6-16-5,202501,2025,1,1,Makuuchi,6,16,Nishikigi,Maegashira 12 East,5,Takerufuji,Maegashira 11 West,5,Takerufuji,0,uwatedashinage,0
202501-1-7-34-38,202501,2025,1,1,Makuuchi,7,34,Midorifuji,Maegashira 11 East,38,Meisei,Maegashira 10 West,34,Midorifuji,1,oshidashi,0
202501-1-8-14-61,202501,2025,1,1,Makuuchi,8,14,Tamawashi,Maegashira 10 East,61,Oshoma,Maegashira 9 West,14,Tamawashi,1,oshitaoshi,0
202501-1-9-71-25,202501,2025,1,1,Makuuchi,9,71,Churanoumi,Maegashira 9 East,25,Takarafuji,Maegashira 8 West,71,Churanoumi,1,oshidashi,0
202501-10-1-16-40,202501,2025,1,10,Makuuchi,1,16,Nishikigi,Maegashira 12 East,40,Nishikifuji,Maegashira 17 East,40,Nishikifuji,0,yorikiri,0
202501-10-10-14-41,202501,2025,1,10,Makuuchi,10,14,Tamawashi,Maegashira 10 East,41,Oho,Maegashira 3 West,41,Oho,0,yorikiri,0
202501-10-11-17-74,202501,2025,1,10,Makuuchi,11,17,Endo,Maegashira 7 East,74,Atamifuji,Maegashira 2 West,17,Endo,1,yorikiri,0
202501-10-12-37-44,202501,2025,1,10,Makuuchi,12,37,Takanosho,Maegashira 1 East,44,Takayasu,Maegashira 6 East,37,Takanosho,1,oshidashi,0
202501-10-13-39-7,202501,2025,1,10,Makuuchi,13,39,Chiyoshoma,Maegashira 5 West,7,Kirishima,Maegashira 1 West,7,Kirishima,0,hikiotoshi,0
202501-10-14-22-50,202501,2025,1,10,Makuuchi,14,22,Abi,Komusubi 1 East,50,Kinbozan,Maegashira 14 West,22,Abi,1,tsukiotoshi,0
202501-10-15-21-12,202501,2025,1,10,Makuuchi,15,21,Tobizaru,Maegashira 2 East,12,Wakatakakage,Komusubi 1 West,12,Wakatakakage,0,hatakikomi,0
202501-10-16-13-28,202501,2025,1,10,Makuuchi,16,13,Wakamotoharu,Sekiwake 1 East,28,Ura,Maegashira 4 West,13,Wakamotoharu,1,oshitaoshi,0
202501-10-17-56-8850,202501,2025,1,10,Makuuchi,17,56,Gonoyama,Maegashira 3 East,8850,Onosato,Ozeki 2 West,8850,Onosato,0,hatakikomi,0
202501-10-18-9-19,202501,2025,1,10,Makuuchi,18,9,Daieisho,Sekiwake 1 West,19,Hoshoryu,Ozeki 1 West,19,Hoshoryu,0,uwatedashinage,0
