wrestler_id,shikona_en,shikona_jp,sumodb_id,nsk_id,current_rank,heya,birth_date,shusshin,height_cm,weight_kg,debut,jsa_profile_url
2,Asanoyama,朝乃山　広暉,12291,3682,Maegashira 12 West,Takasago,1994-03-01T00:00:00Z,"Toyama-ken, Toyama-shi",188.0,165.0,201603,https://www.sumo.or.jp/EnSumoDataRikishi/profile/3682/
3,Hakunofuji,伯乃富士　哲也,12796,4187,Maegashira 7 West,Isegahama,2003-08-22T00:00:00Z,"Tottori-ken, Kurayoshi-shi",181.0,160.0,202301,https://www.sumo.or.jp/EnSumoDataRikishi/profile/4187/
5,Takerufuji,尊富士　弥輝也,12780,4171,Juryo 4 West,Isegahama,1999-04-09T00:00:00Z,"Aomori-ken, Goshogawara-shi",184.0,148.0,202209,https://www.sumo.or.jp/EnSumoDataRikishi/profile/4171/
7,Kirishima,霧島　鐵力,12231,3622,Sekiwake 1 East,Otowayama,1996-04-24T00:00:00Z,"Mongolia, Ulaanbaatar",186.0,145.0,201503,https://www.sumo.or.jp/EnSumoDataRikishi/profile/3622/
8,Kotoshoho,琴勝峰　吉成,12449,3840,Maegashira 5 West,Sadogatake,1999-08-26T00:00:00Z,"Chiba-ken, Kashiwa-shi",190.0,169.0,201711,https://www.sumo.or.jp/EnSumoDataRikishi/profile/3840/
9,Daieisho,大栄翔　勇人,11985,3376,Maegashira 4 East,Oitekaze,1993-11-10T00:00:00Z,"Saitama-ken, Asaka-shi",182.0,165.0,201201,https://www.sumo.or.jp/EnSumoDataRikishi/profile/3376/
11,Ichiyamamoto,一山本　大生,12362,3753,Maegashira 6 East,Hanaregoma,1993-10-01T00:00:00Z,"Hokkaido, Iwanai-gun, Iwanai-cho",188.0,153.0,201701,https://www.sumo.or.jp/EnSumoDataRikishi/profile/3753/
12,Wakatakakage,若隆景　渥,12370,3761,Maegashira 1 East,Arashio,1994-12-06T00:00:00Z,"Fukushima-ken, Fukushima-shi",183.0,137.0,201703,https://www.sumo.or.jp/EnSumoDataRikishi/profile/3761/
13,Wakamotoharu,若元春　港,11980,3371,Komusubi 1 East,Arashio,1993-10-05T00:00:00Z,"Fukushima-ken, Fukushima-shi",187.0,146.0,201111,https://www.sumo.or.jp/EnSumoDataRikishi/profile/3371/
14,Tamawashi,玉鷲　一朗,5944,2629,Maegashira 9 West,Kataonami,1984-11-16T00:00:00Z,"Mongolia, Ulaanbaatar",188.0,177.0,200401,https://www.sumo.or.jp/EnSumoDataRikishi/profile/2629/
15,Ryuden,竜電　剛至,6594,2890,Juryo 1 East,Takadagawa,1990-11-10T00:00:00Z,"Yamanashi-ken, Kofu-shi",189.0,158.0,200603,https://www.sumo.or.jp/EnSumoDataRikishi/profile/2890/
16,Nishikigi,錦木　徹也,6596,2892,Juryo 12 East,Isenoumi,1990-08-25T00:00:00Z,"Iwate-ken, Morioka-shi",186.0,186.0,200603,https://www.sumo.or.jp/EnSumoDataRikishi/profile/2892/
17,Endo,遠藤(えんどう),12055,3464,Makushita 3 East,Oitekaze,1990-10-19T00:00:00Z,"Ishikawa-ken, Hosu-gun, Anamizu-machi",184.0,146.0,201303,https://www.sumo.or.jp/EnSumoDataRikishi/profile/3464/
19,Hoshoryu,豊昇龍　智勝,12451,3842,Yokozuna 1 East,Tatsunami,1999-05-22T00:00:00Z,"Mongolia, Ulaanbaatar",188.0,149.0,201711,https://www.sumo.or.jp/EnSumoDataRikishi/profile/3842/
20,Kotozakura,琴櫻　将傑,12270,3661,Ozeki 1 West,Sadogatake,1997-11-19T00:00:00Z,"Chiba-ken, Matsudo-shi",189.0,175.0,201511,https://www.sumo.or.jp/EnSumoDataRikishi/profile/3661/
21,Tobizaru,翔猿　正也,12203,3594,Maegashira 13 East,Oitekaze,1992-04-24T00:00:00Z,"Tokyo-to, Edogawa-ku",173.0,134.0,201501,https://www.sumo.or.jp/EnSumoDataRikishi/profile/3594/
22,Abi,阿炎　政虎,12094,3485,Maegashira 5 East,Shikoroyama,1994-05-04T00:00:00Z,"Saitama-ken, Koshigaya-shi",188.0,166.0,201305,https://www.sumo.or.jp/EnSumoDataRikishi/profile/3485/
24,Hiradoumi,平戸海　雄貴,12314,3705,Maegashira 3 East,Sakaigawa,2000-04-20T00:00:00Z,"Nagasaki-ken, Hirado-shi",178.0,135.0,201603,https://www.sumo.or.jp/EnSumoDataRikishi/profile/3705/
25,Takarafuji,宝富士　大輔,11728,3150,Juryo 12 East,Isegahama,1987-02-18T00:00:00Z,"Aomori-ken, Kitatsugaru-gun, Nakadomari-machi",186.0,167.0,200901,https://www.sumo.or.jp/EnSumoDataRikishi/profile/3150/
